iter	Passed	Remaining
0	54	54205
1	55	27714
2	56	18764
3	57	14252
4	58	11556
5	58	9747
6	59	8471
7	60	7495
8	61	6773
9	62	6164
10	63	5677
11	63	5269
12	64	4912
13	65	4606
14	66	4348
15	67	4170
16	69	3996
17	69	3814
18	70	3655
19	71	3510
20	72	3387
21	73	3267
22	74	3160
23	75	3054
24	75	2956
25	76	2875
26	78	2814
27	79	2754
28	80	2694
29	81	2632
30	82	2571
31	83	2514
32	83	2459
33	85	2417
34	85	2368
35	86	2325
36	87	2285
37	88	2240
38	89	2201
39	90	2163
40	90	2126
41	91	2091
42	92	2058
43	93	2029
44	95	2017
45	96	1991
46	97	1972
47	98	1948
48	99	1925
49	99	1898
50	100	1877
51	102	1867
52	103	1845
53	104	1824
54	105	1807
55	108	1824
56	111	1842
57	112	1823
58	113	1806
59	114	1792
60	117	1806
61	119	1807
62	120	1794
63	122	1792
64	124	1794
65	126	1793
66	128	1783
67	130	1792
68	131	1780
69	133	1768
70	134	1760
71	136	1757
72	137	1748
73	139	1751
74	141	1743
75	143	1747
76	146	1750
77	147	1745
78	148	1736
79	150	1735
80	152	1728
81	153	1719
82	154	1704
83	155	1691
84	156	1680
85	157	1670
86	158	1663
87	159	1656
88	161	1651
89	162	1639
90	163	1629
91	164	1624
92	165	1615
93	166	1604
94	167	1592
95	167	1581
96	168	1570
97	169	1559
98	170	1548
99	171	1539
100	171	1529
101	172	1520
102	173	1509
103	174	1499
104	174	1489
105	175	1479
106	176	1470
107	176	1461
108	177	1451
109	178	1446
110	179	1437
111	180	1427
112	180	1419
113	181	1411
114	183	1408
115	184	1405
116	185	1398
117	186	1390
118	186	1382
119	187	1377
120	188	1371
121	189	1365
122	190	1359
123	191	1353
124	192	1345
125	192	1338
126	193	1331
127	194	1324
128	195	1318
129	195	1311
130	196	1304
131	197	1297
132	197	1290
133	198	1283
134	199	1276
135	199	1270
136	200	1263
137	201	1257
138	202	1251
139	202	1245
140	203	1239
141	203	1232
142	204	1225
143	205	1220
144	205	1214
145	206	1209
146	207	1203
147	208	1198
148	208	1193
149	209	1189
150	210	1183
151	211	1177
152	211	1171
153	212	1166
154	212	1160
155	213	1156
156	214	1151
157	215	1146
158	215	1141
159	216	1136
160	217	1130
161	217	1125
162	218	1121
163	219	1117
164	219	1112
165	220	1108
166	221	1103
167	222	1099
168	222	1096
169	223	1091
170	224	1087
171	224	1082
172	225	1078
173	226	1075
174	227	1071
175	227	1067
176	228	1063
177	229	1058
178	229	1054
179	230	1050
180	231	1046
181	232	1043
182	232	1039
183	233	1035
184	234	1031
185	234	1028
186	235	1024
187	236	1020
188	237	1017
189	237	1013
190	238	1009
191	239	1006
192	239	1002
193	240	1000
194	241	996
195	242	992
196	242	989
197	243	985
198	244	982
199	244	979
200	245	975
201	246	972
202	246	968
203	247	965
204	248	962
205	248	959
206	249	956
207	250	952
208	250	949
209	251	947
210	252	944
211	253	942
212	254	939
213	254	936
214	255	933
215	256	930
216	256	927
